country,cntry_code,area_sqmil,area_sqkm,binomial,area,pct_specie_country,species,v1,isocode
Afghanistan,4,359116.66,930076.25,Gerbillus nanus,351356.90625,.37777215,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Meriones meridianus,133497.4375,.14353387,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Myotis emarginatus,59215.0546875,.06366688,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Jaculus blanfordi,278391.71875,.29932138,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Dipus sagitta,7471.23779296875,.0080329301,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Capra aegagrus,66269.71875,.071251921,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Gazella subgutturosa,338837.03125,.36431101,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Felis margarita,1367.802001953125,.0014706342,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Eptesicus bottae,47514.98828125,.051087197,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Funambulus pennantii,2048.884033203125,.0022029204,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Dryomys nitedula,676863.5,.72775054,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Eoglaucomys fimbriatus,32890.1796875,.035362884,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Apodemus pallipes,560883.5,.60305107,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Lutra lutra,545225.375,.58621579,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Hyaena hyaena,694597.3125,.74681759,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Cervus hanglu,15596.515625,.016769072,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Calomyscus baluchi,376326.90625,.40461943,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Canis lupus,926943.5,.99663174,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Neodon juldaschi,230705.796875,.24805041,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Hystrix indica,926727.75,.99639976,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Eptesicus nasutus,24438.16015625,.026275437,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Apodemus rusiges,3015.82470703125,.0032425565,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Ellobius fuscocapillus,259281.421875,.27877438,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Capra falconeri,3569.147216796875,.0038374781,mammals,4,AF
Afghanistan,4,359116.66,930076.25,Apodemus uralensis,29529.921875,.031750001,mammals,4,AF
