"","year","code","category","Species","Class","Region","count","code_mod","risk"
"1","2012","CR","Critically Endangered","Aaadonta angaurana","GASTROPODA","global",3,"CR",4
"2","1996","DD","Data Deficient","Aaadonta angaurana","GASTROPODA","global",3,"NA",0
"3","1994","V","Vulnerable","Aaadonta angaurana","GASTROPODA","global",3,"VU",2
"4","2012","EN","Endangered","Aaadonta constricta","GASTROPODA","global",3,"EN",3
"5","1996","DD","Data Deficient","Aaadonta constricta","GASTROPODA","global",3,"NA",0
"6","1994","V","Vulnerable","Aaadonta constricta","GASTROPODA","global",3,"VU",2
"7","2012","EN","Endangered","Aaadonta fuscozonata","GASTROPODA","global",3,"EN",3
"8","1996","DD","Data Deficient","Aaadonta fuscozonata","GASTROPODA","global",3,"NA",0
"9","1994","V","Vulnerable","Aaadonta fuscozonata","GASTROPODA","global",3,"VU",2
"10","2012","CR","Critically Endangered","Aaadonta irregularis","GASTROPODA","global",3,"CR",4
"11","1996","DD","Data Deficient","Aaadonta irregularis","GASTROPODA","global",3,"NA",0
"12","1994","V","Vulnerable","Aaadonta irregularis","GASTROPODA","global",3,"VU",2
"13","2012","CR","Critically Endangered","Aaadonta kinlochi","GASTROPODA","global",3,"CR",4
"14","1996","DD","Data Deficient","Aaadonta kinlochi","GASTROPODA","global",3,"NA",0
"15","1994","V","Vulnerable","Aaadonta kinlochi","GASTROPODA","global",3,"VU",2
"16","2012","CR","Critically Endangered","Aaadonta pelewana","GASTROPODA","global",3,"CR",4
"17","1996","DD","Data Deficient","Aaadonta pelewana","GASTROPODA","global",3,"NA",0
"18","1994","V","Vulnerable","Aaadonta pelewana","GASTROPODA","global",3,"VU",2
"19","2011","CR","Critically Endangered","Aaptosyax grypus","ACTINOPTERYGII","global",2,"CR",4
"20","1996","DD","Data Deficient","Aaptosyax grypus","ACTINOPTERYGII","global",2,"NA",0
"21","2016","CR","Critically Endangered","Abrocoma boliviensis","MAMMALIA","global",3,"CR",4
"22","2008","CR","Critically Endangered","Abrocoma boliviensis","MAMMALIA","global",3,"CR",4
"23","1996","VU","Vulnerable","Abrocoma boliviensis","MAMMALIA","global",3,"VU",2
"24","2013","EN","Endangered","Abronia montecristoi","REPTILIA","global",3,"EN",3
"25","1996","CR","Critically Endangered","Abronia montecristoi","REPTILIA","global",3,"CR",4
"26","1994","E","Endangered","Abronia montecristoi","REPTILIA","global",3,"EN",3
"27","2017","EN","Endangered","Acanthaeschna victoria","INSECTA","global",5,"EN",3
"28","1996","VU","Vulnerable","Acanthaeschna victoria","INSECTA","global",5,"VU",2
"29","1994","K","Insufficiently Known","Acanthaeschna victoria","INSECTA","global",5,"NA",0
"30","1990","K","Insufficiently Known","Acanthaeschna victoria","INSECTA","global",5,"NA",0
"31","1988","V","Vulnerable","Acanthaeschna victoria","INSECTA","global",5,"VU",2
"32","2011","DD","Data Deficient","Acanthinula spinifera","GASTROPODA","global",3,"NA",0
"33","1996","DD","Data Deficient","Acanthinula spinifera","GASTROPODA","global",3,"NA",0
"34","1994","R","Rare","Acanthinula spinifera","GASTROPODA","global",3,"NT",1
"35","2014","EX","Extinct","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"36","2006","EX","Extinct","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"37","1996","EX","Extinct","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"38","1994","Ex?","Extinct?","Mirogrex hulensis","ACTINOPTERYGII","global",4,"EX",5
"39","2016","EN","Endangered","Acanthochelys pallidipectoris","REPTILIA","global",7,"EN",3
"40","1996","VU","Vulnerable","Acanthochelys pallidipectoris","REPTILIA","global",7,"VU",2
"41","1994","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"42","1990","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"43","1988","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"44","1986","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"45","1982","R","Rare","Acanthochelys pallidipectoris","REPTILIA","global",7,"NT",1
"46","1996","LR/nt","Lower Risk/near threatened","Acanthochelys spixii","REPTILIA","global",6,"LC",0
"47","1994","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"48","1990","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"49","1988","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"50","1986","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"51","1982","K","Insufficiently Known","Acanthochelys spixii","REPTILIA","global",6,"NA",0
"52","1996","LR/nt","Lower Risk/near threatened","Acanthochelys radiolata","REPTILIA","global",1,"LC",0
"53","1996","LR/cd","Lower Risk/conservation dependent","Acanthocobitis urophthalmus","ACTINOPTERYGII","global",2,"LC",0
"54","1994","V","Vulnerable","Acanthocobitis urophthalmus","ACTINOPTERYGII","global",2,"VU",2
"55","1996","VU","Vulnerable","Acanthocyclops hypogeus","MAXILLOPODA","global",1,"VU",2
"56","2006","VU","Vulnerable","Salmo ohridanus","ACTINOPTERYGII","global",2,"VU",2
"57","1996","VU","Vulnerable","Salmo ohridanus","ACTINOPTERYGII","global",2,"VU",2
"58","1996","EX","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"59","1994","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"60","1990","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"61","1988","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"62","1986","Ex","Extinct","Acanthametropus pecatonica","INSECTA","global",5,"EX",5
"63","1996","VU","Vulnerable","Acanthomyops latipes","INSECTA","global",1,"VU",2
"64","2016","VU","Vulnerable","Acerodon celebensis","MAMMALIA","global",3,"VU",2
"65","2008","LC","Least Concern","Acerodon celebensis","MAMMALIA","global",3,"LC",0
"66","1996","LR/nt","Lower Risk/near threatened","Acerodon celebensis","MAMMALIA","global",3,"LC",0
"67","2016","EN","Endangered","Acerodon humilis","MAMMALIA","global",3,"EN",3
"68","2008","EN","Endangered","Acerodon humilis","MAMMALIA","global",3,"EN",3
"69","1996","VU","Vulnerable","Acerodon humilis","MAMMALIA","global",3,"VU",2
"70","2016","EN","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"71","2008","EN","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"72","1996","EN","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"73","1994","E","Endangered","Acerodon jubatus","MAMMALIA","global",4,"EN",3
"74","2008","VU","Vulnerable","Acerodon leucotis","MAMMALIA","global",2,"VU",2
"75","1996","VU","Vulnerable","Acerodon leucotis","MAMMALIA","global",2,"VU",2
"76","2016","VU","Vulnerable","Acerodon mackloti","MAMMALIA","global",3,"VU",2
"77","2008","VU","Vulnerable","Acerodon mackloti","MAMMALIA","global",3,"VU",2
"78","1996","LR/lc","Lower Risk/least concern","Acerodon mackloti","MAMMALIA","global",3,"LC",0
