"","x"
"1",3
"2",4
"3",5
"4",6
"5",7
"6",8
"7",9
"8",18
"9",20
"10",43
"11",59
"12",73
"13",75
"14",76
"15",79
"16",81
"17",82
"18",137
"19",138
"20",139
"21",140
"22",142
"23",161
"24",167
"25",168
"26",169
"27",170
"28",171
"29",172
"30",173
"31",174
"32",175
"33",176
"34",177
"35",178
"36",179
"37",180
"38",181
"39",182
"40",183
"41",184
"42",185
"43",186
"44",188
"45",189
"46",190
"47",191
"48",192
"49",193
"50",194
"51",195
"52",197
"53",198
"54",199
"55",200
"56",201
"57",202
"58",203
"59",204
"60",205
"61",207
"62",209
"63",212
"64",213
"65",215
"66",217
"67",218
"68",219
"69",222
"70",223
"71",224
"72",225
"73",227
"74",228
"75",229
"76",230
"77",231
"78",232
"79",233
"80",234
"81",235
"82",236
"83",241
"84",244
"85",245
"86",263
"87",264
"88",265
"89",266
"90",267
"91",268
"92",269
"93",270
"94",271
"95",272
"96",273
"97",275
"98",276
"99",278
"100",279
"101",282
"102",283
"103",313
"104",314
"105",315
"106",499
"107",500
"108",501
"109",502
"110",503
"111",504
"112",505
"113",506
"114",507
"115",508
"116",512
"117",513
"118",520
"119",521
"120",523
"121",526
"122",527
"123",547
"124",548
"125",550
"126",555
"127",556
"128",557
"129",561
"130",562
"131",563
"132",564
"133",565
"134",567
"135",568
"136",569
"137",570
"138",571
"139",572
"140",573
"141",574
"142",575
"143",576
"144",592
"145",593
"146",594
"147",595
"148",596
"149",612
"150",618
"151",619
"152",622
"153",623
"154",624
"155",697
"156",699
"157",700
"158",701
"159",704
"160",705
"161",706
"162",707
"163",708
"164",709
"165",712
"166",714
"167",723
"168",724
"169",725
"170",726
"171",727
"172",728
"173",729
"174",730
"175",731
"176",733
"177",735
"178",736
"179",737
"180",738
"181",739
"182",740
"183",741
"184",742
"185",743
"186",746
"187",747
"188",748
"189",750
"190",751
"191",752
"192",753
"193",754
"194",755
"195",756
"196",757
"197",758
"198",760
"199",761
"200",762
"201",763
"202",764
"203",765
"204",766
"205",772
"206",773
"207",774
"208",775
"209",776
"210",777
"211",778
"212",779
"213",780
"214",781
"215",787
"216",788
"217",789
"218",790
"219",811
"220",840
"221",843
"222",850
"223",851
"224",852
"225",854
"226",855
"227",856
"228",857
"229",858
"230",859
"231",860
"232",861
"233",862
"234",863
"235",865
"236",867
"237",868
"238",869
"239",870
"240",871
"241",872
